trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","8","0006","6 | Saint-Jacques Morinais","0","1049116"
"18297","21","0030","30 | Stade Rennais","0","1049783"
"18298","28","0030","30 | Stade Rennais","0","1049240"
"18299","8","0030","30 | Stade Rennais","0","1048978"
"183","17","0006","6 | Cesson-Sévigné Base de Loisirs","1","1047428"
"1830","28","0031","31 | Beaulieu Chimie","1","1049296"
"18300","13","0030","30 | Stade Rennais","0","1048448"
"18301","17","0030","30 | Stade Rennais","0","1047494"
"18302","21","0030","30 | Stade Rennais","0","1049785"
"18303","28","0030","30 | Stade Rennais","0","1049242"
"18304","8","0030","30 | Stade Rennais","0","1048981"
"18305","13","0030","30 | Stade Rennais","0","1048451"
"18306","17","0030","30 | Stade Rennais","0","1047497"
"18307","21","0030","30 | Stade Rennais","0","1049788"
"18308","28","0030","30 | Stade Rennais","0","1049245"
"18309","8","0030","30 | Stade Rennais","0","1048975"
"1831","8","0031","31 | Beaulieu Chimie","1","1049092"
"18310","13","0030","30 | Stade Rennais","0","1048445"
"18311","17","0030","30 | Stade Rennais","0","1047491"
"18312","21","0030","30 | Stade Rennais","0","1049782"
"18313","28","0030","30 | Stade Rennais","0","1049239"
"18314","8","0030","30 | Stade Rennais","0","1048999"
"18315","13","0030","30 | Stade Rennais","0","1048469"
"18316","17","0030","30 | Stade Rennais","0","1047515"
"18317","21","0030","30 | Stade Rennais","0","1049806"
"18318","28","0030","30 | Stade Rennais","0","1049263"
"18319","8","0030","30 | Stade Rennais","0","1048973"
"1832","13","0031","31 | Beaulieu Chimie","1","1048562"
"18320","13","0030","30 | Stade Rennais","0","1048443"
"18321","17","0030","30 | Stade Rennais","0","1047489"
"18322","21","0030","30 | Stade Rennais","0","1049780"
"18323","28","0030","30 | Stade Rennais","0","1049237"
"18324","8","0030","30 | Stade Rennais","0","1048976"
"18325","13","0030","30 | Stade Rennais","0","1048446"
"18326","17","0030","30 | Stade Rennais","0","1047492"
"18327","21","0030","30 | Stade Rennais","0","1049783"
"18328","28","0030","30 | Stade Rennais","0","1049240"
"18329","8","0030","30 | Stade Rennais","0","1048983"
"1833","17","0031","31 | Beaulieu Chimie","1","1047629"
"18330","13","0030","30 | Stade Rennais","0","1048453"
"18331","17","0030","30 | Stade Rennais","0","1047499"
"18332","21","0030","30 | Stade Rennais","0","1049790"
"18333","28","0030","30 | Stade Rennais","0","1049247"
"18334","8","0030","30 | Stade Rennais","0","1048978"
"18335","13","0030","30 | Stade Rennais","0","1048448"
"18336","17","0030","30 | Stade Rennais","0","1047494"
"18337","21","0030","30 | Stade Rennais","0","1049785"
"18338","28","0030","30 | Stade Rennais","0","1049242"
"18339","8","0030","30 | Stade Rennais","0","1048981"
"1834","21","0031","31 | Beaulieu Chimie","1","1049899"
"18340","13","0030","30 | Stade Rennais","0","1048451"
"18341","17","0030","30 | Stade Rennais","0","1047497"
"18342","21","0030","30 | Stade Rennais","0","1049788"
"18343","28","0030","30 | Stade Rennais","0","1049245"
"18344","8","0030","30 | Stade Rennais","0","1048975"
"18345","13","0030","30 | Stade Rennais","0","1048445"
"18346","17","0030","30 | Stade Rennais","0","1047491"
"18347","21","0030","30 | Stade Rennais","0","1049782"
"18348","28","0030","30 | Stade Rennais","0","1049239"
"18349","8","0030","30 | Stade Rennais","0","1048999"
"1835","28","0031","31 | Beaulieu Chimie","1","1049356"
"18350","13","0030","30 | Stade Rennais","0","1048469"
"18351","17","0030","30 | Stade Rennais","0","1047515"
"18352","21","0030","30 | Stade Rennais","0","1049806"
"18353","28","0030","30 | Stade Rennais","0","1049263"
"18354","8","0030","30 | Stade Rennais","0","1048973"
"18355","13","0030","30 | Stade Rennais","0","1048443"
"18356","17","0030","30 | Stade Rennais","0","1047489"
"18357","21","0030","30 | Stade Rennais","0","1049780"
"18358","28","0030","30 | Stade Rennais","0","1049237"
"18359","8","0030","30 | Stade Rennais","0","1048976"
"1836","8","0031","31 | Villejean Churchill","0","1049042"
"18360","13","0030","30 | Stade Rennais","0","1048446"
"18361","17","0030","30 | Stade Rennais","0","1047492"
"18362","21","0030","30 | Stade Rennais","0","1049783"
"18363","28","0030","30 | Stade Rennais","0","1049240"
